年度,食品群,検体名,Bacteria,Serotype,検体数,陽性数,品目カテゴリ
2009,食肉,ミンチ肉（牛）,E.coli,-,114,70,厚生労働省指定品目
2009,食肉,ミンチ肉（牛）,カンピロバクター,-,114,-,厚生労働省指定品目
2009,食肉,ミンチ肉（牛）,サルモネラ属菌,-,114,1,厚生労働省指定品目
2009,食肉,ミンチ肉（牛）,腸管出血性大腸菌,O157,114,-,厚生労働省指定品目
2009,食肉,ミンチ肉（牛）,腸管出血性大腸菌,O26,114,-,厚生労働省指定品目
2009,食肉,ミンチ肉（豚）,E.coli,-,165,116,厚生労働省指定品目
2009,食肉,ミンチ肉（豚）,カンピロバクター,-,165,-,厚生労働省指定品目
2009,食肉,ミンチ肉（豚）,サルモネラ属菌,-,165,5,厚生労働省指定品目
2009,食肉,ミンチ肉（豚）,腸管出血性大腸菌,O157,165,-,厚生労働省指定品目
2009,食肉,ミンチ肉（豚）,腸管出血性大腸菌,O26,165,-,厚生労働省指定品目
2009,食肉,ミンチ肉（鶏）,E.coli,-,216,191,厚生労働省指定品目
2009,食肉,ミンチ肉（鶏）,カンピロバクター,-,216,65,厚生労働省指定品目
2009,食肉,ミンチ肉（鶏）,サルモネラ属菌,-,216,105,厚生労働省指定品目
2009,食肉,ミンチ肉（鶏）,腸管出血性大腸菌,O157,216,-,厚生労働省指定品目
2009,食肉,ミンチ肉（鶏）,腸管出血性大腸菌,O26,216,-,厚生労働省指定品目
2009,食肉,ユッケ用牛肉,E.coli,-,24,5,実施自治体*1選定品目
2009,食肉,ユッケ用牛肉,カンピロバクター,-,24,-,実施自治体*1選定品目
2009,食肉,ユッケ用牛肉,サルモネラ属菌,-,24,-,実施自治体*1選定品目
2009,食肉,ユッケ用牛肉,腸管出血性大腸菌,O157,24,-,実施自治体*1選定品目
2009,食肉,ユッケ用牛肉,腸管出血性大腸菌,O26,24,-,実施自治体*1選定品目
2009,食肉,ローストビーフ,E.coli,-,87,11,厚生労働省指定品目
2009,食肉,ローストビーフ,カンピロバクター,-,87,-,厚生労働省指定品目
2009,食肉,ローストビーフ,サルモネラ属菌,-,87,-,厚生労働省指定品目
2009,食肉,ローストビーフ,腸管出血性大腸菌,O157,87,-,厚生労働省指定品目
2009,食肉,ローストビーフ,腸管出血性大腸菌,O26,87,-,厚生労働省指定品目
2009,食肉,牛たたき,E.coli,-,93,15,厚生労働省指定品目
2009,食肉,牛たたき,カンピロバクター,-,93,-,厚生労働省指定品目
2009,食肉,牛たたき,サルモネラ属菌,-,93,-,厚生労働省指定品目
2009,食肉,牛たたき,腸管出血性大腸菌,O157,93,-,厚生労働省指定品目
2009,食肉,牛たたき,腸管出血性大腸菌,O26,93,-,厚生労働省指定品目
2009,食肉,牛レバ一（加熱加エ用）,E.coli,-,207,144,厚生労働省指定品目
2009,食肉,牛レバ一（加熱加エ用）,カンピロバクター,-,207,22,厚生労働省指定品目
2009,食肉,牛レバ一（加熱加エ用）,サルモネラ属菌,-,207,2,厚生労働省指定品目
2009,食肉,牛レバ一（加熱加エ用）,腸管出血性大腸菌,O157,207,2,厚生労働省指定品目
2009,食肉,牛レバ一（加熱加エ用）,腸管出血性大腸菌,O26,207,-,厚生労働省指定品目
2009,食肉,牛レバ一（生食用）,E.coli,-,17,13,厚生労働省指定品目
2009,食肉,牛レバ一（生食用）,カンピロバクター,-,17,3,厚生労働省指定品目
2009,食肉,牛レバ一（生食用）,サルモネラ属菌,-,17,-,厚生労働省指定品目
2009,食肉,牛レバ一（生食用）,腸管出血性大腸菌,O157,17,-,厚生労働省指定品目
2009,食肉,牛レバ一（生食用）,腸管出血性大腸菌,O26,17,-,厚生労働省指定品目
2009,食肉,牛刺し,E.coli,-,17,5,実施自治体*1選定品目
2009,食肉,牛刺し,カンピロバクター,-,17,-,実施自治体*1選定品目
2009,食肉,牛刺し,サルモネラ属菌,-,17,-,実施自治体*1選定品目
2009,食肉,牛刺し,腸管出血性大腸菌,O157,17,-,実施自治体*1選定品目
2009,食肉,牛刺し,腸管出血性大腸菌,O26,17,-,実施自治体*1選定品目
2009,食肉,牛結着肉,E.coli,-,197,145,厚生労働省指定品目
2009,食肉,牛結着肉,カンピロバクター,-,197,-,厚生労働省指定品目
2009,食肉,牛結着肉,サルモネラ属菌,-,197,1,厚生労働省指定品目
2009,食肉,牛結着肉,腸管出血性大腸菌,O157,197,-,厚生労働省指定品目
2009,食肉,牛結着肉,腸管出血性大腸菌,O26,197,-,厚生労働省指定品目
2009,食肉,牛肉,E.coli,-,48,17,実施自治体*1選定品目
2009,食肉,牛肉,カンピロバクター,-,48,-,実施自治体*1選定品目
2009,食肉,牛肉,サルモネラ属菌,-,48,-,実施自治体*1選定品目
2009,食肉,牛肉,腸管出血性大腸菌,O157,48,-,実施自治体*1選定品目
2009,食肉,牛肉,腸管出血性大腸菌,O26,48,-,実施自治体*1選定品目
2009,食肉,馬刺,E.coli,-,81,19,厚生労働省指定品目
2009,食肉,馬刺,カンピロバクター,-,81,0,厚生労働省指定品目
2009,食肉,馬刺,サルモネラ属菌,-,81,-,厚生労働省指定品目
2009,食肉,馬刺,腸管出血性大腸菌,O157,81,-,厚生労働省指定品目
2009,食肉,馬刺,腸管出血性大腸菌,O26,81,-,厚生労働省指定品目
2009,食肉,鶏たたき,E.coli,-,45,35,厚生労働省指定品目
2009,食肉,鶏たたき,カンピロバクター,-,45,5,厚生労働省指定品目
2009,食肉,鶏たたき,サルモネラ属菌,-,45,1,厚生労働省指定品目
2009,食肉,鶏たたき,腸管出血性大腸菌,O157,45,-,厚生労働省指定品目
2009,食肉,鶏たたき,腸管出血性大腸菌,O26,45,-,厚生労働省指定品目
2009,食肉,鶏刺し,E.coli,-,30,29,実施自治体*1選定品目
2009,食肉,鶏刺し,カンピロバクター,-,30,8,実施自治体*1選定品目
2009,食肉,鶏刺し,サルモネラ属菌,-,30,3,実施自治体*1選定品目
2009,食肉,鶏刺し,腸管出血性大腸菌,O157,30,-,実施自治体*1選定品目
2009,食肉,鶏刺し,腸管出血性大腸菌,O26,30,-,実施自治体*1選定品目
2010,加工品,漬物,E.coli,-,264,23,厚生労働省指定品目
2010,加工品,漬物,カンピロバクター,-,264,-,厚生労働省指定品目
2010,加工品,漬物,サルモネラ属菌,-,264,-,厚生労働省指定品目
2010,加工品,漬物,腸管出血性大腸菌,O157,264,-,厚生労働省指定品目
2010,加工品,漬物,腸管出血性大腸菌,O26,264,-,厚生労働省指定品目
2010,野菜,その他の野菜*2,E.coli,-,64,8,実施自治体*1選定品目
2010,野菜,その他の野菜*2,カンピロバクター,-,64,-,実施自治体*1選定品目
2010,野菜,その他の野菜*2,サルモネラ属菌,-,64,-,実施自治体*1選定品目
2010,野菜,その他の野菜*2,腸管出血性大腸菌,O157,64,-,実施自治体*1選定品目
2010,野菜,その他の野菜*2,腸管出血性大腸菌,O26,64,-,実施自治体*1選定品目
2010,野菜,なす,E.coli,-,20,-,実施自治体*1選定品目
2010,野菜,なす,カンピロバクター,-,20,-,実施自治体*1選定品目
2010,野菜,なす,サルモネラ属菌,-,20,-,実施自治体*1選定品目
2010,野菜,なす,腸管出血性大腸菌,O157,20,-,実施自治体*1選定品目
2010,野菜,なす,腸管出血性大腸菌,O26,20,-,実施自治体*1選定品目
2010,野菜,みつば,E.coli,-,60,18,厚生労働省指定品目
2010,野菜,みつば,カンピロバクター,-,60,-,厚生労働省指定品目
2010,野菜,みつば,サルモネラ属菌,-,60,-,厚生労働省指定品目
2010,野菜,みつば,腸管出血性大腸菌,O157,60,-,厚生労働省指定品目
2010,野菜,みつば,腸管出血性大腸菌,O26,60,-,厚生労働省指定品目
2010,野菜,もやし,E.coli,-,114,52,厚生労働省指定品目
2010,野菜,もやし,カンピロバクター,-,114,-,厚生労働省指定品目
2010,野菜,もやし,サルモネラ属菌,-,114,-,厚生労働省指定品目
2010,野菜,もやし,腸管出血性大腸菌,O157,114,-,厚生労働省指定品目
2010,野菜,もやし,腸管出血性大腸菌,O26,114,-,厚生労働省指定品目
2010,野菜,アルファルファ,E.coli,-,18,3,厚生労働省指定品目
2010,野菜,アルファルファ,カンピロバクター,-,18,-,厚生労働省指定品目
2010,野菜,アルファルファ,サルモネラ属菌,-,18,-,厚生労働省指定品目
2010,野菜,アルファルファ,腸管出血性大腸菌,O157,18,-,厚生労働省指定品目
2010,野菜,アルファルファ,腸管出血性大腸菌,O26,18,-,厚生労働省指定品目
2010,野菜,カイワレ,E.coli,-,93,5,厚生労働省指定品目
2010,野菜,カイワレ,カンピロバクター,-,93,-,厚生労働省指定品目
2010,野菜,カイワレ,サルモネラ属菌,-,93,-,厚生労働省指定品目
2010,野菜,カイワレ,腸管出血性大腸菌,O157,93,-,厚生労働省指定品目
2010,野菜,カイワレ,腸管出血性大腸菌,O26,93,-,厚生労働省指定品目
2010,野菜,カット野菜,E.coli,-,152,11,厚生労働省指定品目
2010,野菜,カット野菜,カンピロバクター,-,152,-,厚生労働省指定品目
2010,野菜,カット野菜,サルモネラ属菌,-,152,1,厚生労働省指定品目
2010,野菜,カット野菜,腸管出血性大腸菌,O157,152,-,厚生労働省指定品目
2010,野菜,カット野菜,腸管出血性大腸菌,O26,152,-,厚生労働省指定品目
2010,野菜,グリーンリーフレタス,E.coli,-,13,2,実施自治体*1選定品目
2010,野菜,グリーンリーフレタス,カンピロバクター,-,13,-,実施自治体*1選定品目
2010,野菜,グリーンリーフレタス,サルモネラ属菌,-,13,-,実施自治体*1選定品目
2010,野菜,グリーンリーフレタス,腸管出血性大腸菌,O157,13,-,実施自治体*1選定品目
2010,野菜,グリーンリーフレタス,腸管出血性大腸菌,O26,13,-,実施自治体*1選定品目
2010,野菜,サラダ菜,E.coli,-,15,2,実施自治体*1選定品目
2010,野菜,サラダ菜,カンピロバクター,-,15,-,実施自治体*1選定品目
2010,野菜,サラダ菜,サルモネラ属菌,-,15,-,実施自治体*1選定品目
2010,野菜,サラダ菜,腸管出血性大腸菌,O157,15,-,実施自治体*1選定品目
2010,野菜,サラダ菜,腸管出血性大腸菌,O26,15,-,実施自治体*1選定品目
2010,野菜,タマネギ,E.coli,-,11,-,実施自治体*1選定品目
2010,野菜,タマネギ,カンピロバクター,-,11,-,実施自治体*1選定品目
2010,野菜,タマネギ,サルモネラ属菌,-,11,-,実施自治体*1選定品目
2010,野菜,タマネギ,腸管出血性大腸菌,O157,11,-,実施自治体*1選定品目
2010,野菜,タマネギ,腸管出血性大腸菌,O26,11,-,実施自治体*1選定品目
2010,野菜,トマト,E.coli,-,95,2,実施自治体*1選定品目
2010,野菜,トマト,カンピロバクター,-,95,-,実施自治体*1選定品目
2010,野菜,トマト,サルモネラ属菌,-,95,-,実施自治体*1選定品目
2010,野菜,トマト,腸管出血性大腸菌,O157,95,-,実施自治体*1選定品目
2010,野菜,トマト,腸管出血性大腸菌,O26,95,-,実施自治体*1選定品目
2010,野菜,ニンジン,E.coli,-,11,-,実施自治体*1選定品目
2010,野菜,ニンジン,カンピロバクター,-,11,-,実施自治体*1選定品目
2010,野菜,ニンジン,サルモネラ属菌,-,11,-,実施自治体*1選定品目
2010,野菜,ニンジン,腸管出血性大腸菌,O157,11,-,実施自治体*1選定品目
2010,野菜,ニンジン,腸管出血性大腸菌,O26,11,-,実施自治体*1選定品目
2010,野菜,ブロッコリーの芽,E.coli,-,10,-,実施自治体*1選定品目
2010,野菜,ブロッコリーの芽,カンピロバクター,-,10,-,実施自治体*1選定品目
2010,野菜,ブロッコリーの芽,サルモネラ属菌,-,10,-,実施自治体*1選定品目
2010,野菜,ブロッコリーの芽,腸管出血性大腸菌,O157,10,-,実施自治体*1選定品目
2010,野菜,ブロッコリーの芽,腸管出血性大腸菌,O26,10,-,実施自治体*1選定品目
2010,野菜,ホウレンソウ,E.coli,-,17,6,実施自治体*1選定品目
2010,野菜,ホウレンソウ,カンピロバクター,-,17,-,実施自治体*1選定品目
2010,野菜,ホウレンソウ,サルモネラ属菌,-,17,-,実施自治体*1選定品目
2010,野菜,ホウレンソウ,腸管出血性大腸菌,O157,17,-,実施自治体*1選定品目
2010,野菜,ホウレンソウ,腸管出血性大腸菌,O26,17,-,実施自治体*1選定品目
2010,野菜,ミニトマト,E.coli,-,22,-,実施自治体*1選定品目
2010,野菜,ミニトマト,カンピロバクター,-,22,-,実施自治体*1選定品目
2010,野菜,ミニトマト,サルモネラ属菌,-,22,-,実施自治体*1選定品目
2010,野菜,ミニトマト,腸管出血性大腸菌,O157,22,-,実施自治体*1選定品目
2010,野菜,ミニトマト,腸管出血性大腸菌,O26,22,-,実施自治体*1選定品目
2010,野菜,レタス,E.coli,-,85,7,厚生労働省指定品目
2010,野菜,レタス,カンピロバクター,-,85,-,厚生労働省指定品目
2010,野菜,レタス,サルモネラ属菌,-,85,-,厚生労働省指定品目
2010,野菜,レタス,腸管出血性大腸菌,O157,85,-,厚生労働省指定品目
2010,野菜,レタス,腸管出血性大腸菌,O26,85,-,厚生労働省指定品目
2010,野菜,大根,E.coli,-,11,2,実施自治体*1選定品目
2010,野菜,大根,カンピロバクター,-,11,-,実施自治体*1選定品目
2010,野菜,大根,サルモネラ属菌,-,11,-,実施自治体*1選定品目
2010,野菜,大根,腸管出血性大腸菌,O157,11,-,実施自治体*1選定品目
2010,野菜,大根,腸管出血性大腸菌,O26,11,-,実施自治体*1選定品目
2010,野菜,水菜,E.coli,-,15,-,実施自治体*1選定品目
2010,野菜,水菜,カンピロバクター,-,15,-,実施自治体*1選定品目
2010,野菜,水菜,サルモネラ属菌,-,15,-,実施自治体*1選定品目
2010,野菜,水菜,腸管出血性大腸菌,O157,15,-,実施自治体*1選定品目
2010,野菜,水菜,腸管出血性大腸菌,O26,15,-,実施自治体*1選定品目
2010,野菜,漬け物野菜,E.coli,-,155,16,厚生労働省指定品目
2010,野菜,漬け物野菜,カンピロバクター,-,155,-,厚生労働省指定品目
2010,野菜,漬け物野菜,サルモネラ属菌,-,155,-,厚生労働省指定品目
2010,野菜,漬け物野菜,腸管出血性大腸菌,O157,155,-,厚生労働省指定品目
2010,野菜,漬け物野菜,腸管出血性大腸菌,O26,155,-,厚生労働省指定品目
2010,野菜,豆苗,E.coli,-,11,-,実施自治体*1選定品目
2010,野菜,豆苗,カンピロバクター,-,11,-,実施自治体*1選定品目
2010,野菜,豆苗,サルモネラ属菌,-,11,-,実施自治体*1選定品目
2010,野菜,豆苗,腸管出血性大腸菌,O157,11,-,実施自治体*1選定品目
2010,野菜,豆苗,腸管出血性大腸菌,O26,11,-,実施自治体*1選定品目
2010,野菜,長ネギ,E.coli,-,13,2,実施自治体*1選定品目
2010,野菜,長ネギ,カンピロバクター,-,13,-,実施自治体*1選定品目
2010,野菜,長ネギ,サルモネラ属菌,-,13,-,実施自治体*1選定品目
2010,野菜,長ネギ,腸管出血性大腸菌,O157,13,-,実施自治体*1選定品目
2010,野菜,長ネギ,腸管出血性大腸菌,O26,13,-,実施自治体*1選定品目
2010,野菜,ｷｭｳﾘ,E.coli,-,119,13,厚生労働省指定品目
2010,野菜,ｷｭｳﾘ,カンピロバクター,-,119,-,厚生労働省指定品目
2010,野菜,ｷｭｳﾘ,サルモネラ属菌,-,119,-,厚生労働省指定品目
2010,野菜,ｷｭｳﾘ,腸管出血性大腸菌,O157,119,-,厚生労働省指定品目
