調査年,食品取扱区分,食品カテゴリ,食品名,食品詳細,検査方法,細菌名,汚染濃度,単位,実施機関,調査名,source URL,閲覧日,備考
2018,非可食部,鶏肉,盲腸内容物,,plate_count,"Campylobacter jejuni, Campylobacter coli",6.47,log CFU/g,国立医薬品食品衛生研究所,2食鳥処理場におけるブロイラー群および胸肉のカンピロバクター,https://agriknowledge.affrc.go.jp/RN/2010937017.pdf,,"value: 平均値; 問い合わせ: 要; origin: 農場G; others: 第6回, 49日齢; "
2018,食材,鶏肉,むね肉,,plate_count,Campylobacter jejuni,2.11,log CFU/g,国立医薬品食品衛生研究所,2食鳥処理場におけるブロイラー群および胸肉のカンピロバクター,https://agriknowledge.affrc.go.jp/RN/2010937017.pdf,,"value: 平均値; 問い合わせ: 要; origin: 農場G; others: 第6回, 49日齢; "
2020,非可食部,鶏肉,盲腸内容物,,plate_count,"Campylobacter jejuni, Campylobacter coli",7.27,log CFU/g,国立医薬品食品衛生研究所,2食鳥処理場におけるブロイラー群および胸肉のカンピロバクター,https://agriknowledge.affrc.go.jp/RN/2010937017.pdf,,"value: 平均値; 問い合わせ: 要; origin: 農場H; others: 第7回, 48日齢; "
2020,食材,鶏肉,むね肉,,plate_count,"Campylobacter jejuni, Campylobacter coli",2.49,log CFU/g,国立医薬品食品衛生研究所,2食鳥処理場におけるブロイラー群および胸肉のカンピロバクター,https://agriknowledge.affrc.go.jp/RN/2010937017.pdf,,"value: 平均値; 問い合わせ: 要; origin: 農場H; others: 第7回, 48日齢; "
2020,食材,鶏肉,もも肉,,plate_count,Campylobacter spp.,1.53,log CFU/g,"地方衛生研究所, 国立医薬品食品衛生研究所",鶏肉食品におけるカンピロバクター等の定量的汚染実態に関する研究,https://mhlw-grants.niph.go.jp/system/files/report_pdf/202024029A-buntan1.pdf,,value: 平均値; 問い合わせ: 要; 検査方法_詳細: ISO 10272-2：2017; other: 食鳥処理場及び鶏種（銘柄）の情報あり; 
2021,Ready-to-eat,その他,惣菜,そうざい① (ready-to-eat（RTE）のデリミート),plate_count,Listeria monocytogenes,2.30E+05,CFU/g,福岡市保健環境研究所,複数の型が検出されたListeria monocytogenes集団感染事例,https://www.niid.go.jp/niid/ja/l-monocytogenes-m/l-monocytogenes-iasrd/11432-510d05.html,,食品詳細:そうざい① (ready-to-eat（RTE）のデリミート)
2021,Ready-to-eat,その他,惣菜,そうざい② (ready-to-eat（RTE）のデリミート),plate_count,Listeria monocytogenes,2.90E+03,CFU/g,福岡市保健環境研究所,複数の型が検出されたListeria monocytogenes集団感染事例,https://www.niid.go.jp/niid/ja/l-monocytogenes-m/l-monocytogenes-iasrd/11432-510d05.html,,食品詳細:そうざい② (ready-to-eat（RTE）のデリミート)
2020~2021,食材,鶏肉,その他の鶏肉加工品,冷蔵,MPN,Salmonella spp.,107.5,MPN/25g,国立医薬品食品衛生研究所,鶏肉加工製品におけるサルモネラ等の定量汚染の調査,https://mhlw-grants.niph.go.jp/system/files/report_pdf/202024029A-buntan3.pdf,,検査方法_詳細: MPN法（3本法）; organism_details: 血清型O4; other: 血清型ごとの分離菌株数の情報あり;食品詳細:冷蔵
2020~2021,食材,鶏肉,その他の鶏肉加工品,冷蔵,MPN,Salmonella spp.,57.5,MPN/25g,国立医薬品食品衛生研究所,鶏肉加工製品におけるサルモネラ等の定量汚染の調査,https://mhlw-grants.niph.go.jp/system/files/report_pdf/202024029A-buntan3.pdf,,検査方法_詳細: MPN法（3本法）; organism_details: 血清型O4; other: 血清型ごとの分離菌株数の情報あり;食品詳細:冷蔵
2020~2021,食材,鶏肉,その他の鶏肉加工品,冷蔵,MPN,Salmonella spp.,22.75,MPN/25g,国立医薬品食品衛生研究所,鶏肉加工製品におけるサルモネラ等の定量汚染の調査,https://mhlw-grants.niph.go.jp/system/files/report_pdf/202024029A-buntan3.pdf,,検査方法_詳細: MPN法（3本法）; organism_details: 血清型O4; other: 血清型ごとの分離菌株数の情報あり;食品詳細:冷蔵
2020~2021,食材,鶏肉,その他の鶏肉加工品,冷蔵,MPN,Salmonella spp.,22.75,MPN/25g,国立医薬品食品衛生研究所,鶏肉加工製品におけるサルモネラ等の定量汚染の調査,https://mhlw-grants.niph.go.jp/system/files/report_pdf/202024029A-buntan3.pdf,,"検査方法_詳細: MPN法（3本法）; organism_details: 血清型O4, O7; other: 血清型ごとの分離菌株数の情報あり;食品詳細:冷蔵"
2020~2021,食材,鶏肉,その他の鶏肉加工品,冷蔵,MPN,Salmonella spp.,22.75,MPN/25g,国立医薬品食品衛生研究所,鶏肉加工製品におけるサルモネラ等の定量汚染の調査,https://mhlw-grants.niph.go.jp/system/files/report_pdf/202024029A-buntan3.pdf,,検査方法_詳細: MPN法（3本法）; organism_details: 血清型O7; other: 血清型ごとの分離菌株数の情報あり;食品詳細:冷蔵
2020~2021,食材,鶏肉,その他の鶏肉加工品,冷蔵,MPN,Salmonella spp.,9,MPN/25g,国立医薬品食品衛生研究所,鶏肉加工製品におけるサルモネラ等の定量汚染の調査,https://mhlw-grants.niph.go.jp/system/files/report_pdf/202024029A-buntan3.pdf,,検査方法_詳細: MPN法（3本法）; organism_details: 血清型O4; other: 血清型ごとの分離菌株数の情報あり;食品詳細:冷蔵
2020~2021,食材,鶏肉,その他の鶏肉加工品,冷蔵,MPN,Salmonella spp.,9,MPN/25g,国立医薬品食品衛生研究所,鶏肉加工製品におけるサルモネラ等の定量汚染の調査,https://mhlw-grants.niph.go.jp/system/files/report_pdf/202024029A-buntan3.pdf,,検査方法_詳細: MPN法（3本法）; organism_details: 血清型O4; other: 血清型ごとの分離菌株数の情報あり;食品詳細:冷蔵
2020~2021,食材,鶏肉,その他の鶏肉加工品,冷蔵,MPN,Salmonella spp.,9,MPN/25g,国立医薬品食品衛生研究所,鶏肉加工製品におけるサルモネラ等の定量汚染の調査,https://mhlw-grants.niph.go.jp/system/files/report_pdf/202024029A-buntan3.pdf,,検査方法_詳細: MPN法（3本法）; organism_details: 血清型O4; other: 血清型ごとの分離菌株数の情報あり;食品詳細:冷蔵
2020~2021,食材,鶏肉,その他の鶏肉加工品,冷蔵,MPN,Salmonella spp.,9,MPN/25g,国立医薬品食品衛生研究所,鶏肉加工製品におけるサルモネラ等の定量汚染の調査,https://mhlw-grants.niph.go.jp/system/files/report_pdf/202024029A-buntan3.pdf,,検査方法_詳細: MPN法（3本法）; organism_details: 血清型O4; other: 血清型ごとの分離菌株数の情報あり;食品詳細:冷蔵
2020~2021,食材,鶏肉,その他の鶏肉加工品,冷蔵,MPN,Salmonella spp.,9,MPN/25g,国立医薬品食品衛生研究所,鶏肉加工製品におけるサルモネラ等の定量汚染の調査,https://mhlw-grants.niph.go.jp/system/files/report_pdf/202024029A-buntan3.pdf,,検査方法_詳細: MPN法（3本法）; organism_details: 血清型O7; other: 血清型ごとの分離菌株数の情報あり;食品詳細:冷蔵
2020~2021,食材,鶏肉,その他の鶏肉加工品,冷蔵,MPN,Salmonella spp.,9,MPN/25g,国立医薬品食品衛生研究所,鶏肉加工製品におけるサルモネラ等の定量汚染の調査,https://mhlw-grants.niph.go.jp/system/files/report_pdf/202024029A-buntan3.pdf,,検査方法_詳細: MPN法（3本法）; organism_details: 血清型O7; other: 血清型ごとの分離菌株数の情報あり;食品詳細:冷蔵
2020~2021,食材,鶏肉,その他の鶏肉加工品,冷蔵,MPN,Salmonella spp.,<7.5,MPN/25g,国立医薬品食品衛生研究所,鶏肉加工製品におけるサルモネラ等の定量汚染の調査,https://mhlw-grants.niph.go.jp/system/files/report_pdf/202024029A-buntan3.pdf,,検査方法_詳細: MPN法（3本法）; organism_details: 血清型O4; other: 血清型ごとの分離菌株数の情報あり;食品詳細:冷蔵
2020~2021,食材,鶏肉,その他の鶏肉加工品,冷蔵,MPN,Salmonella spp.,<7.5,MPN/25g,国立医薬品食品衛生研究所,鶏肉加工製品におけるサルモネラ等の定量汚染の調査,https://mhlw-grants.niph.go.jp/system/files/report_pdf/202024029A-buntan3.pdf,,検査方法_詳細: MPN法（3本法）; organism_details: 血清型O4; other: 血清型ごとの分離菌株数の情報あり;食品詳細:冷蔵
2020~2021,食材,鶏肉,その他の鶏肉加工品,冷蔵,MPN,Salmonella spp.,<7.5,MPN/25g,国立医薬品食品衛生研究所,鶏肉加工製品におけるサルモネラ等の定量汚染の調査,https://mhlw-grants.niph.go.jp/system/files/report_pdf/202024029A-buntan3.pdf,,検査方法_詳細: MPN法（3本法）; organism_details: 血清型O4; other: 血清型ごとの分離菌株数の情報あり;食品詳細:冷蔵
2020~2021,食材,鶏肉,その他の鶏肉加工品,冷蔵,MPN,Salmonella spp.,<7.5,MPN/25g,国立医薬品食品衛生研究所,鶏肉加工製品におけるサルモネラ等の定量汚染の調査,https://mhlw-grants.niph.go.jp/system/files/report_pdf/202024029A-buntan3.pdf,,検査方法_詳細: MPN法（3本法）; organism_details: 血清型O4; other: 血清型ごとの分離菌株数の情報あり;食品詳細:冷蔵
2020~2021,食材,鶏肉,その他の鶏肉加工品,冷蔵,MPN,Salmonella spp.,<7.5,MPN/25g,国立医薬品食品衛生研究所,鶏肉加工製品におけるサルモネラ等の定量汚染の調査,https://mhlw-grants.niph.go.jp/system/files/report_pdf/202024029A-buntan3.pdf,,検査方法_詳細: MPN法（3本法）; organism_details: 血清型O7; other: 血清型ごとの分離菌株数の情報あり;食品詳細:冷蔵
2020~2021,食材,鶏肉,その他の鶏肉加工品,冷蔵,MPN,Salmonella spp.,<7.5,MPN/25g,国立医薬品食品衛生研究所,鶏肉加工製品におけるサルモネラ等の定量汚染の調査,https://mhlw-grants.niph.go.jp/system/files/report_pdf/202024029A-buntan3.pdf,,検査方法_詳細: MPN法（3本法）; organism_details: 血清型O4; other: 血清型ごとの分離菌株数の情報あり;食品詳細:冷蔵
2020~2021,食材,鶏肉,その他の鶏肉加工品,冷蔵,MPN,Salmonella spp.,<7.5,MPN/25g,国立医薬品食品衛生研究所,鶏肉加工製品におけるサルモネラ等の定量汚染の調査,https://mhlw-grants.niph.go.jp/system/files/report_pdf/202024029A-buntan3.pdf,,検査方法_詳細: MPN法（3本法）; organism_details: 血清型O4; other: 血清型ごとの分離菌株数の情報あり;食品詳細:冷蔵
2020~2021,食材,鶏肉,その他の鶏肉加工品,冷蔵,MPN,Salmonella spp.,<7.5,MPN/25g,国立医薬品食品衛生研究所,鶏肉加工製品におけるサルモネラ等の定量汚染の調査,https://mhlw-grants.niph.go.jp/system/files/report_pdf/202024029A-buntan3.pdf,,"検査方法_詳細: MPN法（3本法）; organism_details: 血清型O4, O8; other: 血清型ごとの分離菌株数の情報あり;食品詳細:冷蔵"
2020~2021,食材,鶏肉,その他の鶏肉加工品,冷蔵,MPN,Salmonella spp.,<7.5,MPN/25g,国立医薬品食品衛生研究所,鶏肉加工製品におけるサルモネラ等の定量汚染の調査,https://mhlw-grants.niph.go.jp/system/files/report_pdf/202024029A-buntan3.pdf,,"検査方法_詳細: MPN法（3本法）; organism_details: 血清型O4, O7; other: 血清型ごとの分離菌株数の情報あり;食品詳細:冷蔵"
2020~2021,食材,鶏肉,その他の鶏肉加工品,冷蔵,MPN,Salmonella spp.,<7.5,MPN/25g,国立医薬品食品衛生研究所,鶏肉加工製品におけるサルモネラ等の定量汚染の調査,https://mhlw-grants.niph.go.jp/system/files/report_pdf/202024029A-buntan3.pdf,,検査方法_詳細: MPN法（3本法）; organism_details: 血清型O4; other: 血清型ごとの分離菌株数の情報あり;食品詳細:冷蔵
2020~2021,食材,鶏肉,その他の鶏肉加工品,冷蔵,MPN,Salmonella spp.,<7.5,MPN/25g,国立医薬品食品衛生研究所,鶏肉加工製品におけるサルモネラ等の定量汚染の調査,https://mhlw-grants.niph.go.jp/system/files/report_pdf/202024029A-buntan3.pdf,,検査方法_詳細: MPN法（3本法）; organism_details: 血清型O4; other: 血清型ごとの分離菌株数の情報あり;食品詳細:冷蔵
2020~2021,食材,鶏肉,その他の鶏肉加工品,冷蔵,MPN,Salmonella spp.,<7.5,MPN/25g,国立医薬品食品衛生研究所,鶏肉加工製品におけるサルモネラ等の定量汚染の調査,https://mhlw-grants.niph.go.jp/system/files/report_pdf/202024029A-buntan3.pdf,,検査方法_詳細: MPN法（3本法）; organism_details: 血清型O4; other: 血清型ごとの分離菌株数の情報あり;食品詳細:冷蔵
2020~2021,食材,鶏肉,その他の鶏肉加工品,冷蔵,MPN,Salmonella spp.,<7.5,MPN/25g,国立医薬品食品衛生研究所,鶏肉加工製品におけるサルモネラ等の定量汚染の調査,https://mhlw-grants.niph.go.jp/system/files/report_pdf/202024029A-buntan3.pdf,,検査方法_詳細: MPN法（3本法）; organism_details: 血清型O4; other: 血清型ごとの分離菌株数の情報あり;食品詳細:冷蔵
2020~2021,食材,鶏肉,その他の鶏肉加工品,冷蔵,MPN,Salmonella spp.,<7.5,MPN/25g,国立医薬品食品衛生研究所,鶏肉加工製品におけるサルモネラ等の定量汚染の調査,https://mhlw-grants.niph.go.jp/system/files/report_pdf/202024029A-buntan3.pdf,,検査方法_詳細: MPN法（3本法）; organism_details: 血清型O4; other: 血清型ごとの分離菌株数の情報あり;食品詳細:冷蔵
2020~2021,食材,鶏肉,その他の鶏肉加工品,冷蔵,MPN,Salmonella spp.,<7.5,MPN/25g,国立医薬品食品衛生研究所,鶏肉加工製品におけるサルモネラ等の定量汚染の調査,https://mhlw-grants.niph.go.jp/system/files/report_pdf/202024029A-buntan3.pdf,,検査方法_詳細: MPN法（3本法）; organism_details: 血清型O4; other: 血清型ごとの分離菌株数の情報あり;食品詳細:冷蔵
2020~2021,食材,鶏肉,その他の鶏肉加工品,冷蔵,MPN,Salmonella spp.,<7.5,MPN/25g,国立医薬品食品衛生研究所,鶏肉加工製品におけるサルモネラ等の定量汚染の調査,https://mhlw-grants.niph.go.jp/system/files/report_pdf/202024029A-buntan3.pdf,,検査方法_詳細: MPN法（3本法）; organism_details: 血清型O4; other: 血清型ごとの分離菌株数の情報あり;食品詳細:冷蔵
2020~2021,食材,鶏肉,その他の鶏肉加工品,冷蔵,MPN,Salmonella spp.,<7.5,MPN/25g,国立医薬品食品衛生研究所,鶏肉加工製品におけるサルモネラ等の定量汚染の調査,https://mhlw-grants.niph.go.jp/system/files/report_pdf/202024029A-buntan3.pdf,,検査方法_詳細: MPN法（3本法）; organism_details: 血清型O4; other: 血清型ごとの分離菌株数の情報あり;食品詳細:冷蔵
2020~2021,食材,鶏肉,その他の鶏肉加工品,冷蔵,MPN,Salmonella spp.,<7.5,MPN/25g,国立医薬品食品衛生研究所,鶏肉加工製品におけるサルモネラ等の定量汚染の調査,https://mhlw-grants.niph.go.jp/system/files/report_pdf/202024029A-buntan3.pdf,,検査方法_詳細: MPN法（3本法）; organism_details: 血清型O7; other: 血清型ごとの分離菌株数の情報あり;食品詳細:冷蔵
2020~2021,食材,鶏肉,その他の鶏肉加工品,冷蔵,MPN,Salmonella spp.,<7.5,MPN/25g,国立医薬品食品衛生研究所,鶏肉加工製品におけるサルモネラ等の定量汚染の調査,https://mhlw-grants.niph.go.jp/system/files/report_pdf/202024029A-buntan3.pdf,,検査方法_詳細: MPN法（3本法）; organism_details: 血清型O7; other: 血清型ごとの分離菌株数の情報あり;食品詳細:冷蔵
2003,非可食部,牛肉,消化管内容物,第一胃内容物,MPN,Escherichia coli O157,44.4,CFU/g,大阪市食肉衛生検査所,夏季における牛の腸管出血性大腸菌O157保菌状況と分離株の薬剤感受性,https://agriknowledge.affrc.go.jp/RN/2010720847.pdf,,value: 平均値; 問い合わせ: 要;食品詳細:直腸便
